,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt,sigma_dh_dt
46,Dehecq,Dehecq - CTL,RGI60-14.06828,CTL,0.043,2000-09-11,2013-10-10,0.6237955396936923,49.21285713363175,2.682320820682877e-05,0.002116152856746165,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.04769548270318633,3.7628210316221473
47,Dehecq,Dehecq - CTL,RGI60-14.06829,CTL,0.034,2000-09-11,2013-10-10,-4.3012995185226535,50.168433044676846,-0.00014624418362977018,0.0017057267235190128,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.32887788342901386,3.8358844818020135
48,Dehecq,Dehecq - CTL,RGI60-14.06830,CTL,0.031,2000-09-11,2013-10-10,0.7919378108924282,50.30175527591144,2.4550072137665274e-05,0.0015593544135532546,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.06055166117405472,3.8460783157895446
49,Dehecq,Dehecq - CTL,RGI60-14.06831,CTL,0.038,2000-09-11,2013-10-10,-3.3153551950075606,49.72083164398426,-0.0001259834974102873,0.0018893916024714016,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.2534924607445073,3.8016608243594834
50,Dehecq,Dehecq - CTL,RGI60-14.06832,CTL,0.031,2000-09-11,2013-10-10,-1.862381216115528,50.329018173060525,-5.773381769958138e-05,0.0015601995633648762,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.1423978939054211,3.848162840215691
51,Dehecq,Dehecq - CTL,RGI60-14.06833,CTL,0.348,2000-09-11,2013-10-10,-1.1621205356039046,35.20510616879577,-0.0004044179463901588,0.01225137694674093,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.08885587725127196,2.691786692098107
52,Dehecq,Dehecq - CTL,RGI60-14.06834,CTL,0.10800000000000001,2000-09-11,2013-10-10,-4.451622807342697,45.01880475641202,-0.00048077526319301124,0.004862030913692499,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.34037162034371365,3.442143277638578
53,Dehecq,Dehecq - CTL,RGI60-14.06835,CTL,0.087,2000-09-11,2013-10-10,-9.209694294524036,10.548242638621796,-0.0008012434036235911,0.0009176971095600961,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.7041743439553912,0.8065199128651058
54,Dehecq,Dehecq - CTL,RGI60-14.06836,CTL,0.066,2000-09-11,2013-10-10,-4.4748898795586785,47.54893358553372,-0.0002953427320508729,0.003138229616645225,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.34215062351032177,3.6355972351091044
55,Dehecq,Dehecq - CTL,RGI60-14.06837,CTL,0.142,2000-09-11,2013-10-10,-4.509104457136979,43.159196058649705,-0.0006402928329134508,0.006128605840328257,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.3447666742661255,3.2999573708230696
